lastTopupAmount, balance, lastTopupDate, weekConsumption, highestConsumptionDay, maximumConsumption, lowestConsumptionDay, minimumConsumption, averageConsumption, date
20.0, 15.40, 20220625, 0, 20220627, 0, 20220627, 0, 0, 2022-07-04
20.0, 15.19, 20220625, 0, 20220627, 0, 20220627, 0, 0, 2022-07-05
20.0, 14.51, 20220625, 0, 20220628, 0, 20220628, 0, 0, 2022-07-06
20.0, 14.32, 20220625, 0, 20220628, 0, 20220628, 0, 0, 2022-07-07
20.0, 13.14, 20220625, 0, 20220630, 0, 20220630, 0, 0, 2022-07-08
20.0, 12.89, 20220625, 0, 20220630, 0, 20220630, 0, 0, 2022-07-09
20.0, 12.00, 20220625, 0, 20220630, 0, 20220630, 0, 0, 2022-07-10
20.0, 11.77, 20220625, 0, 20220703, 0, 20220703, 0, 0, 2022-07-11
20.0, 11.08, 20220625, 0, 20220704, 0, 20220704, 0, 0, 2022-07-12
20.0, 10.74, 20220625, 0, 20220705, 0, 20220705, 0, 0, 2022-07-13

