lastTopupAmount, balance, lastTopupDate, weekConsumption, highestConsumptionDay, maximumConsumption, lowestConsumptionDay, minimumConsumption, averageConsumption,date
30.0, 9.56, 20220625, 0, 20220630, 0, 20220626, 0, 0, 2022-07-04
30.0, 8.88, 20220625, 0, 20220630, 0, 20220627, 0, 0, 2022-07-05
30.0, 8.19, 20220625, 0, 20220630, 0, 20220628, 0, 0, 2022-07-06
30.0, 7.59, 20220625, 0, 20220630, 0, 20220628, 0, 0, 2022-07-07
30.0, 6.48, 20220625, 0, 20220630, 0, 20220630, 0, 0, 2022-07-08
30.0, 6.12, 20220625, 0, 20220630, 0, 20220628, 0, 0, 2022-07-09
30.0, 5.43, 20220625, 0, 20220630, 0, 20220628, 0, 0, 2022-07-10
30.0, 4.43, 20220625, 0, 20220703, 0, 20220703, 0, 0, 2022-07-11
30.0, 3.06, 20220625, 0, 20220704, 0, 20220704, 0, 0, 2022-07-12
30.0, 2.03, 20220625, 0, 20220705, 0, 20220705, 0, 0, 2022-07-13
									2022-07-14
									2022-07-15
									2022-07-16
5.0, 2.58, 20220715, 0, 20220709, 0, 20220709, 0, 0, 2022-07-17
5.0, 1.9, 20220715, 0, 20220710, 0, 20220710, 0, 0, 2022-07-18
5.0, 0.87, 20220715, 0, 20220711, 0, 20220711, 0, 0, 2022-07-19
10.0, 9.49, 20220720, 0, 20220712, 0, 20220712, 0, 0, 2022-07-20
10.0, 7.43, 20220720, 0, 20220713, 0, 20220713, 0, 0, 2022-07-21
10.0, 5.37, 20220720, 0, 20220714, 0, 20220714, 0, 0, 2022-07-22
10.0, 3.24, 20220720, 0, 20220715, 0, 20220716, 0, 0, 2022-07-23
10.0, 1.94, 20220720, 0, 20220716, 0, 20220716, 0, 0, 2022-07-24
20.0, 19.19, 20220725, 0, 20220717, 0, 20220717, 0, 0, 2022-07-25
20.0, 17.13, 20220725, 0, 20220718, 0, 20220718, 0, 0, 2022-07-26
20.0, 15.76, 20220725, 0, 20220719, 0, 20220719, 0, 0, 2022-07-27
20.0, 13.01, 20220725, 0, 20220720, 0, 20220720, 0, 0, 2022-07-28
20.0, 11.50, 20220725, 0, 20220721, 0, 20220721, 0, 0, 2022-07-29
20.0, 8.45, 20220725, 0, 20220722, 0, 20220722, 0, 0, 2022-07-30
20.0, 6.83, 20220725, 0, 20220723, 0, 20220723, 0, 0, 2022-07-31
10.0, 7.90, 20220801, 0, 20220724, 0, 20220724, 0, 0, 2022-08-01
10.0, 7.31, 20220801, 0, 20220725, 0, 20220725, 0, 0, 2022-08-02
10.0, 6.28, 20220801, 0, 20220731, 0, 20220726, 0, 0, 2022-08-03
10.0, 5.6, 20220801, 0, 20220731, 0, 20220727, 0, 0, 2022-08-04
