lastTopupAmount, balance, lastTopupDate, weekConsumption, highestConsumptionDay, maximumConsumption, lowestConsumptionDay, minimumConsumption, averageConsumption, date
20.0, 15.40, 20220625, 0, 20220627, 0, 20220627, 0, 0, 2022-07-04
20.0, 15.19, 20220625, 0, 20220627, 0, 20220627, 0, 0, 2022-07-05
20.0, 14.51, 20220625, 0, 20220628, 0, 20220628, 0, 0, 2022-07-06
20.0, 14.32, 20220625, 0, 20220628, 0, 20220628, 0, 0, 2022-07-07
20.0, 13.14, 20220625, 0, 20220630, 0, 20220630, 0, 0, 2022-07-08
20.0, 12.89, 20220625, 0, 20220630, 0, 20220630, 0, 0, 2022-07-09
20.0, 12.00, 20220625, 0, 20220630, 0, 20220630, 0, 0, 2022-07-10
20.0, 11.77, 20220625, 0, 20220703, 0, 20220703, 0, 0, 2022-07-11
20.0, 11.08, 20220625, 0, 20220704, 0, 20220704, 0, 0, 2022-07-12
20.0, 10.74, 20220625, 0, 20220705, 0, 20220705, 0, 0, 2022-07-13
									 2022-07-14
									 2022-07-15
									 2022-07-16
20.0, 2.79, 20220625, 0, 20220709, 0, 20220709, 0, 0, 2022-07-17
20.0, 1.76, 20220625, 0, 20220710, 0, 20220710, 0, 0, 2022-07-18
20.0, 1.07, 20220625, 0, 20220711, 0, 20220711, 0, 0, 2022-07-19
20.0, 20.05, 20220720, 0, 20220712, 0, 20220712, 0, 0, 2022-07-20
20.0, 18.68, 20220720, 0, 20220713, 0, 20220713, 0, 0, 2022-07-21
20.0, 17.31, 20220720, 0, 20220714, 0, 20220714, 0, 0, 2022-07-22
20.0, 15.61, 20220720, 0, 20220715, 0, 20220716, 0, 0, 2022-07-23
20.0, 14.91, 20220720, 0, 20220716, 0, 20220716, 0, 0, 2022-07-24
20.0, 13.88, 20220720, 0, 20220717, 0, 20220717, 0, 0, 2022-07-25
20.0, 12.86, 20220720, 0, 20220718, 0, 20220718, 0, 0, 2022-07-26
20.0, 11.83, 20220720, 0, 20220719, 0, 20220719, 0, 0, 2022-07-27
20.0, 10.8, 20220720, 0, 20220720, 0, 20220720, 0, 0, 2022-07-28
50.0, 9.43, 20220728, 0, 20220721, 0, 20220721, 0, 0, 2022-07-29
50.0, 9, 20220728, 0, 20220722 0, 20220722 0, 0, 2022-07-29
50.0, 8.41, 20220728, 0, 20220723, 0, 20220723, 0, 0, 2022-07-31
50.0, 8.25, 20220728, 0, 20220724, 0, 20220724, 0, 0, 2022-08-01
50.0, 8.06, 20220728, 0, 20220725, 0, 20220725, 0, 0, 2022-08-02
50.0, 7.03, 20220728, 0, 20220726, 0, 20220726, 0, 0, 2022-08-03
50.0, 6.35, 20220728, 0, 20220727, 0, 20220727, 0, 0, 2022-08-04


