lastTopup, balance, lastTopupDate, weekConsumption, highestConsumptionDay, maximumConsumption, lowestConsumptionDay, minimumConsumption, averageConsumption,date
20.0, 22.09, 20220624, 0, 20220626, 0, 20220626, 0, 0, 2022-07-04
20.0, 21.75, 20220624, 0, 20220627, 0, 20220627, 0, 0, 2022-07-05
20.0, 21.40, 20220624, 0, 20220628, 0, 20220628, 0, 0, 2022-07-06
20.0, 21.06, 20220624, 0, 20220630, 0, 20220630, 0, 0, 2022-07-08
20.0, 20.98, 20220624, 0, 20220630, 0, 20220630, 0, 0, 2022-07-09
20.0, 21.45, 20220624, 0, 20220630, 0, 20220630, 0, 0, 2022-07-10
20.0, 20.06, 20220624, 0, 20220703, 0, 20220703, 0, 0, 2022-07-11
20.0, 20.03, 20220624, 0, 20220704, 0, 20220704, 0, 0, 2022-07-12
20.0, 19.99, 20220624, 0, 20220705, 0, 20220705, 0, 0, 2022-07-13
20.0, 19.50, 20220624, 0, 20220706, 0, 20220706, 0, 0, 2022-07-14
20.0, 19.00, 20220624, 0, 20220707, 0, 20220707, 0, 0, 2022-07-15
20.0, 18.90, 20220624, 0, 20220708, 0, 20220708, 0, 0, 2022-07-16
20.0, 18.67, 20220624, 0, 20220709, 0, 20220709, 0, 0, 2022-07-17
20.0, 18.67, 20220624, 0, 20220710, 0, 20220710, 0, 0, 2022-07-18
20.0, 18.32, 20220624, 0, 20220711, 0, 20220711, 0, 0, 2022-07-19
20.0, 18.32, 20220624, 0, 20220712, 0, 20220712, 0, 0, 2022-07-20
20.0, 17.98, 20220624, 0, 20220713, 0, 20220713, 0, 0, 2022-07-21
20.0, 17.64, 20220624, 0, 20220714, 0, 20220714, 0, 0, 2022-07-22
20.0, 17.05, 20220624, 0, 20220715, 0, 20220716, 0, 0, 2022-07-23
20.0, 16.95, 20220624, 0, 20220716, 0, 20220716, 0, 0, 2022-07-24
20.0, 14.82, 20220624, 0, 20220717, 0, 20220717, 0, 0, 2022-07-25
20.0, 14.48, 20220624, 0, 20220718, 0, 20220718, 0, 0, 2022-07-26
20.0, 14.14, 20220624, 0, 20220719, 0, 20220719, 0, 0, 2022-07-27
20.0, 14.14, 20220624, 0, 20220720, 0, 20220720, 0, 0, 2022-07-28
20.0, 13.91, 20220624, 0, 20220721, 0, 20220721, 0, 0, 2022-07-29
20.0, 13.50, 20220624, 0, 20220722, 0, 20220722, 0, 0, 2022-07-30
20.0, 13.11, 20220624, 0, 20220723, 0, 20220723, 0, 0, 2022-07-31
20.0, 12.90, 20220624, 0, 20220724, 0, 20220724, 0, 0, 2022-08-01
20.0, 12.77, 20220624, 0, 20220725, 0, 20220725, 0, 0, 2022-08-02
20.0, 12.42, 20220624, 0, 20220726, 0, 20220726, 0, 0, 2022-08-03
20.0, 12.42, 20220624, 0, 20220727, 0, 20220727, 0, 0, 2022-08-04
20.0, 12.08, 20220624, 0, 20220728, 0, 20220728, 0, 0, 2022-08-05
20.0, 12.00, 20220624, 0, 20220729, 0, 20220729, 0, 0, 2022-08-06
20.0, 11.70, 20220624, 0, 20220730, 0, 20220730, 0, 0, 2022-08-07
20.0, 11.4, 20220624, 0, 20220731, 0, 20220731, 0, 0, 2022-08-08
20.0, 11.05, 20220624, 0, 20220801, 0, 20220801, 0, 0, 2022-08-09
20.0, 11.05, 20220624, 0, 20220802, 0, 20220802, 0, 0, 2022-08-10
20.0, 10.71, 20220624, 0, 20220803, 0, 20220803, 0, 0, 2022-08-11
20.0, 10.37, 20220624, 0, 20220804, 0, 20220804, 0, 0, 2022-08-12
20.0, 10.03, 20220624, 0, 20220805, 0, 20220805, 0, 0, 2022-08-13
20.0, 10.03, 20220624, 0, 20220806, 0, 20220806, 0, 0, 2022-08-14
20.0, 9.68, 20220624, 0, 20220807, 0, 20220807, 0, 0, 2022-08-15
20.0, 9.68, 20220624, 0, 20220808, 0, 20220808, 0, 0, 2022-08-16
20.0, 9.34, 20220624, 0, 20220809, 0, 20220809, 0, 0, 2022-08-17
20.0, 9, 20220624, 0, 20220810, 0, 20220810, 0, 0, 2022-08-18
20.0, 8.66, 20220624, 0, 20220811, 0, 20220811, 0, 0, 2022-08-19
20.0, 8.59, 20220624, 0, 20220813, 0, 20220813, 0, 0, 2022-08-20
20.0, 8.31, 20220624, 0, 20220813, 0, 20220813, 0, 0, 2022-08-21
20.0, 7.97, 20220624, 0, 20220814, 0, 20220814, 0, 0, 2022-08-22
20.0, 7.97, 20220624, 0, 20220815, 0, 20220815, 0, 0, 2022-08-23
20.0, 7.63, 20220624, 0, 20220816, 0, 20220816, 0, 0, 2022-08-24
20.0, 5.15, 20220624, 0, 20220817, 0, 20220817, 0, 0, 2022-08-25
20.0, 4.81, 20220624, 0, 20220818, 0, 20220818, 0, 0, 2022-08-26
20.0, 4.51, 20220624, 0, 20220821, 0, 20220821, 0, 0, 2022-08-27
20.0, 4.32, 20220624, 0, 20220821, 0, 20220821, 0, 0, 2022-08-28
20.0, 4.13, 20220624, 0, 20220821, 0, 20220821, 0, 0, 2022-08-29
20.0, 4.01, 20220624, 0, 20220822, 0, 20220822, 0, 0, 2022-08-30
20.0, 3.85, 20220624, 0, 20220822, 0, 20220822, 0, 0, 2022-08-31
20.0, 3.45, 20220624, 0, 20220825, 0, 20220825, 0, 0, 2022-09-01
20.0, 3.1, 20220624, 0, 20220825, 0, 20220825, 0, 0, 2022-09-02
