lastTopup, balance, lastTopupDate, weekConsumption, highestConsumptionDay, maximumConsumption, lowestConsumptionDay, minimumConsumption, averageConsumption, date
20.0, 15.40, 20220625, 0, 20220627, 0, 20220627, 0, 0, 2022-07-04
20.0, 15.19, 20220625, 0, 20220627, 0, 20220627, 0, 0, 2022-07-05
20.0, 14.51, 20220625, 0, 20220628, 0, 20220628, 0, 0, 2022-07-06
20.0, 14.32, 20220625, 0, 20220628, 0, 20220628, 0, 0, 2022-07-07
20.0, 13.14, 20220625, 0, 20220630, 0, 20220630, 0, 0, 2022-07-08
20.0, 12.89, 20220625, 0, 20220630, 0, 20220630, 0, 0, 2022-07-09
20.0, 12.00, 20220625, 0, 20220630, 0, 20220630, 0, 0, 2022-07-10
20.0, 11.77, 20220625, 0, 20220703, 0, 20220703, 0, 0, 2022-07-11
20.0, 11.08, 20220625, 0, 20220704, 0, 20220704, 0, 0, 2022-07-12
20.0, 10.74, 20220625, 0, 20220705, 0, 20220705, 0, 0, 2022-07-13
20.0, 8.74, 20220625, 0, 20220706, 0, 20220706, 0, 0, 2022-07-14
20.0, 5.74, 20220625, 0, 20220707, 0, 20220707, 0, 0, 2022-07-15
20.0, 4.34, 20220625, 0, 20220708, 0, 20220708, 0, 0, 2022-07-16
20.0, 2.79, 20220625, 0, 20220709, 0, 20220709, 0, 0, 2022-07-17
20.0, 1.76, 20220625, 0, 20220710, 0, 20220710, 0, 0, 2022-07-18
20.0, 1.07, 20220625, 0, 20220711, 0, 20220711, 0, 0, 2022-07-19
20.0, 20.05, 20220720, 0, 20220712, 0, 20220712, 0, 0, 2022-07-20
20.0, 18.68, 20220720, 0, 20220713, 0, 20220713, 0, 0, 2022-07-21
20.0, 17.31, 20220720, 0, 20220714, 0, 20220714, 0, 0, 2022-07-22
20.0, 15.61, 20220720, 0, 20220715, 0, 20220716, 0, 0, 2022-07-23
20.0, 14.91, 20220720, 0, 20220716, 0, 20220716, 0, 0, 2022-07-24
20.0, 13.88, 20220720, 0, 20220717, 0, 20220717, 0, 0, 2022-07-25
20.0, 12.86, 20220720, 0, 20220718, 0, 20220718, 0, 0, 2022-07-26
20.0, 11.83, 20220720, 0, 20220719, 0, 20220719, 0, 0, 2022-07-27
20.0, 10.8, 20220720, 0, 20220720, 0, 20220720, 0, 0, 2022-07-28
50.0, 9.43, 20220728, 0, 20220721, 0, 20220721, 0, 0, 2022-07-29
50.0, 9.00, 20220728, 0, 20220722, 0, 20220722, 0, 0, 2022-07-29
50.0, 8.41, 20220728, 0, 20220723, 0, 20220723, 0, 0, 2022-07-31
50.0, 8.25, 20220728, 0, 20220724, 0, 20220724, 0, 0, 2022-08-01
50.0, 8.06, 20220728, 0, 20220725, 0, 20220725, 0, 0, 2022-08-02
50.0, 7.03, 20220728, 0, 20220726, 0, 20220726, 0, 0, 2022-08-03
50.0, 6.35, 20220728, 0, 20220727, 0, 20220727, 0, 0, 2022-08-04
50.0, 6.35, 20220728, 0, 20220728, 0, 20220728, 0, 0, 2022-08-05
50.0, 5.45, 20220728, 0, 20220729, 0, 20220728, 0, 0, 2022-08-06
50.0, 4.60, 20220728, 0, 20220730, 0, 20220730, 0, 0, 2022-08-07
50.0, 3.6, 20220728, 0, 20220731, 0, 20220731, 0, 0, 2022-08-08
50.0, 2.23, 20220728, 0, 20220801, 0, 20220801, 0, 0, 2022-08-09
50.0, 2.23, 20220728, 0, 20220802, 0, 20220802, 0, 0, 2022-08-10
50.0, 1.54, 20220728, 0, 20220803, 0, 20220803, 0, 0, 2022-08-11
50.0, 0.85, 20220728, 0, 20220804, 0, 20220804, 0, 0, 2022-08-12
50.0, 0.85, 20220728, 0, 20220805, 0, 20220805, 0, 0, 2022-08-13
50.0, 0.85, 20220728, 0, 20220806, 0, 20220806, 0, 0, 2022-08-14
12.0, 12.16, 20220815, 0, 20220807, 0, 20220807, 0, 0, 2022-08-15
12.0, 4.7, 20220815, 0, 20220808, 0, 20220808, 0, 0, 2022-08-16
12.0, 4.36, 20220815, 0, 20220809, 0, 20220809, 0, 0, 2022-08-17
12.0, 4.02, 20220815, 0, 20220810, 0, 20220810, 0, 0, 2022-08-18
12.0, 3.88, 20220815, 0, 20220811, 0, 20220811, 0, 0, 2022-08-19
12.0, 3.79, 20220815, 0, 20220813, 0, 20220813, 0, 0, 2022-08-20
12.0, 3.68, 20220815, 0, 20220813, 0, 20220813, 0, 0, 2022-08-21
12.0, 3.34, 20220815, 0, 20220814, 0, 20220814, 0, 0, 2022-08-22
12.0, 2.99, 20220815, 0, 20220815, 0, 20220815, 0, 0, 2022-08-23
12.0, 2.99, 20220815, 0, 20220816, 0, 20220816, 0, 0, 2022-08-24
