lastTopup,balance,lastTopupDate,weekConsumption,highestConsumptionDay,maximumConsumption,lowestConsumptionDay,minimumConsumption,averageConsumption,date
100.0,72.0,20220121,0.0,20220124,0.0,20220124,0.0,0.0,2022-02-01
100.0,70.63,20220121,0.0,20220125,0.0,20220125,0.0,0.0,2022-02-02
100.0,68.92,20220121,0.0,20220131,0.0,20220126,0.0,0.0,2022-02-03
100.0,66.87,20220121,0.0,20220131,0.0,20220127,0.0,0.0,2022-02-04
100.0,64.81,20220121,0.0,20220131,0.0,20220128,0.0,0.0,2022-02-05
100.0,61.39,20220121,0.0,20220131,0.0,20220129,0.0,0.0,2022-02-06
100.0,58.65,20220121,0.0,20220131,0.0,20220130,0.0,0.0,2022-02-07
100.0,57.62,20220121,0.0,20220131,0.0,20220131,0.0,0.0,2022-02-08
100.0,53.16,20220121,0.0,20220201,0.0,20220202,0.0,0.0,2022-02-09
100.0,50.41,20220121,0.0,20220202,0.0,20220202,0.0,0.0,2022-02-10
100.0,44.23,20220121,0.0,20220203,0.0,20220203,0.0,0.0,2022-02-11
100.0,35.3,20220121,0.0,20220204,0.0,20220204,0.0,0.0,2022-02-12
100.0,34.61,20220121,0.0,20220205,0.0,20220205,0.0,0.0,2022-02-13
100.0,26.37,20220121,0.0,20220206,0.0,20220206,0.0,0.0,2022-02-14
100.0,25.69,20220121,0.0,20220207,0.0,20220207,0.0,0.0,2022-02-15
100.0,17.44,20220121,0.0,20220208,0.0,20220208,0.0,0.0,2022-02-16
100.0,16.07,20220121,0.0,20220209,0.0,20220209,0.0,0.0,2022-02-17
20.0,31.26,20220217,0.0,20220210,0.0,20220210,0.0,0.0,2022-02-18
20.0,29.89,20220217,0.0,20220211,0.0,20220211,0.0,0.0,2022-02-19
100.0,123.02,20220219,0.0,20220212,0.0,20220212,0.0,0.0,2022-02-20
100.0,121.64,20220219,0.0,20220213,0.0,20220213,0.0,0.0,2022-02-21
100.0,114.77,20220219,0.0,20220214,0.0,20220214,0.0,0.0,2022-02-22
100.0,112.71,20220219,0.0,20220215,0.0,20220215,0.0,0.0,2022-02-23
100.0,105.16,20220219,0.0,20220216,0.0,20220216,0.0,0.0,2022-02-24
100.0,103.78,20220219,0.0,20220217,0.0,20220217,0.0,0.0,2022-02-25
100.0,85.92,20220219,0.0,20220220,0.0,20220220,0.0,0.0,2022-02-28
