lastTopupAmount,balance,lastTopupDate,weekConsumption,highestConsumptionDay,maximumConsumption,lowestConsumptionDay,minimumConsumption,averageConsumption,date
100,72,20220121,0,20220124,0,20220124,0,0,01/02/2022 12:21
100,70.63,20220121,0,20220125,0,20220125,0,0,02/02/2022 03:29
100,68.92,20220121,0,20220131,0,20220126,0,0,03/02/2022 00:32
100,66.87,20220121,0,20220131,0,20220127,0,0,04/02/2022 01:00
100,64.81,20220121,0,20220131,0,20220128,0,0,05/02/2022 00:34
100,61.39,20220121,0,20220131,0,20220129,0,0,06/02/2022 11:11
100,58.65,20220121,0,20220131,0,20220130,0,0,07/02/2022 15:05
100,57.62,20220121,0,20220131,0,20220131,0,0,08/02/2022 01:10
100,53.16,20220121,0,20220201,0,20220202,0,0,09/02/2022 07:33
100,50.41,20220121,0,20220202,0,20220202,0,0,10/02/2022 02:08
100,44.23,20220121,0,20220203,0,20220203,0,0,11/02/2022 06:00
100,35.3,20220121,0,20220204,0,20220204,0,0,12/02/2022 22:34
100,34.61,20220121,0,20220205,0,20220205,0,0,13/02/2022 01:56
100,26.37,20220121,0,20220206,0,20220206,0,0,14/02/2022 23:32
100,25.69,20220121,0,20220207,0,20220207,0,0,15/02/2022 01:14
100,17.44,20220121,0,20220208,0,20220208,0,0,16/02/2022 23:46
100,16.07,20220121,0,20220209,0,20220209,0,0,17/02/2022 09:52
20,31.26,20220217,0,20220210,0,20220210,0,0,18/02/2022 21:25
20,29.89,20220217,0,20220211,0,20220211,0,0,19/02/2022 03:22
100,123.02,20220219,0,20220212,0,20220212,0,0,20/02/2022 20:47
100,121.64,20220219,0,20220213,0,20220213,0,0,21/02/2022 01:01
100,114.77,20220219,0,20220214,0,20220214,0,0,22/02/2022 14:13
100,112.71,20220219,0,20220215,0,20220215,0,0,23/02/2022 02:05
100,105.16,20220219,0,20220216,0,20220216,0,0,24/02/2022 22:00
100,103.78,20220219,0,20220217,0,20220217,0,0,25/02/2022 02:15
100,85.92,10101,0,20220220,0,20220220,0,0,28/02/2022 17:16
100,76.07,20220219,0,20220221,0,20220221,0,0,01/03/2022 21:53
100,75.72,20220219,0,20220222,0,20220222,0,0,02/03/2022 01:14
100,71.27,20220219,0,20220228,0,20220223,0,0,03/03/2022 22:51
100,70.93,20220219,0,20220228,0,20220224,0,0,04/03/2022 02:12
100,67.51,20220219,0,20220228,0,20220225,0,0,05/03/2022 17:05
100,66.48,20220219,0,20220228,0,20220226,0,0,06/03/2022 01:33
100,63.4,20220219,0,20220228,0,20220227,0,0,07/03/2022 15:38
100,62.03,20220219,0,20220228,0,20220228,0,0,08/03/2022 03:28
100,56.54,20220219,0,20220301,0,20220302,0,0,09/03/2022 22:35
100,56.54,20220219,0,20220302,0,20220302,0,0,10/03/2022 00:16
100,51.04,20220219,0,20220303,0,20220303,0,0,11/03/2022 17:41
100,49.67,20220219,0,20220304,0,20220304,0,0,12/03/2022 02:09
100,43.49,20220219,0,20220305,0,20220305,0,0,13/03/2022 10:11
100,31.81,20220219,0,20220308,0,20220308,0,0,16/03/2022 14:55
100,30.43,20220219,0,20220309,0,20220309,0,0,17/03/2022 00:14
100,23.57,20220219,0,20220310,0,20220310,0,0,18/03/2022 17:40
100,22.88,20220219,0,20220311,0,20220311,0,0,19/03/2022 00:29
52,63.89,20220319,0,20220312,0,20220312,0,0,20/03/2022 23:43
52,63.89,20220319,0,20220313,0,20220313,0,0,21/03/2022 01:23
52,55.65,20220319,0,20220314,0,20220314,0,0,22/03/2022 20:28
52,54.96,20220319,0,20220315,0,20220315,0,0,23/03/2022 01:34
52,48.78,20220319,0,20220316,0,20220316,0,0,24/03/2022 15:39
52,46.72,20220319,0,20220317,0,20220317,0,0,25/03/2022 00:07
52,41.22,20220319,0,20220318,0,20220318,0,0,26/03/2022 18:24
52,39.16,20220319,0,20220319,0,20220319,0,0,27/03/2022 03:43
52,30.92,20220319,0,20220320,0,20220320,0,0,28/03/2022 21:09
